fixed_rate,max_loops,fixed_ratio,n_epochs,total_apr,avg_fixed_apr,avg_variable_apr,fixed_hit_pct,shortfall_epochs,var_positive_pct,min_var_apr,max_var_apr,max_ltv,avg_leverage,avg_spread,deleverage,emergency,reserve_final,tvl_growth
0.03,3,0.5,55,6.428561364160243,3.0000000000000004,8.339982246378671,100.0,0,100.0,2.4402567669093838,12.063184457008276,0.6817378984850699,3.0929183339923902,1.4912264793575374,0,0,12197.106161158243,0.0
0.03,3,0.7,55,6.428561364160243,3.0000000000000004,11.899970410631115,100.0,0,100.0,2.0670946115156394,18.10530742834712,0.6817378984850699,3.0929183339923902,1.4912264793575374,0,0,12197.106161158243,0.0
0.03,4,0.3,55,7.187080871365337,3.0000000000000004,7.770007612206038,100.0,0,100.0,2.646958732043046,10.892938939087252,0.727750090126213,3.6016779650875326,1.4912264793575374,0,0,13636.268429448812,0.0
0.03,4,0.5,55,7.187080871365337,3.0000000000000004,9.678010657088452,100.0,0,100.0,2.5057422248602643,14.050114514722154,0.727750090126213,3.6016779650875326,1.4912264793575374,0,0,13636.268429448812,0.0
0.03,4,0.7,55,7.187080871365337,3.0000000000000004,14.130017761814088,100.0,0,100.0,2.176237041433774,21.41685752453692,0.727750090126213,3.6016779650875326,1.4912264793575374,0,0,13636.268429448812,0.0
0.05,0,0.3,55,3.308189215326122,4.999999999999997,2.02546126845377,100.0,0,100.0,1.3604996952844033,2.778155800174522,0.0,1.0,1.4912264793575374,0,0,6276.728613883646,0.0
0.05,0,0.5,55,3.308189215326122,4.999999999999997,0.8373785108644031,100.0,0,98.18181818181819,0.0,1.8894181202443312,0.0,1.0,1.4912264793575374,0,0,6185.4071920885945,0.0
0.05,0,0.7,55,3.308189215326122,4.253386133990728,0.0,5.454545454545454,54,0.0,0.0,0.0,0.0,1.0,1.4912264793575374,0,0,0.0,0.0
0.05,1,0.3,55,4.511865693842114,4.999999999999997,3.542093631383921,100.0,0,100.0,1.624844422190403,5.030307103007474,0.45003860666947887,1.8073385,1.4912264793575374,0,0,8560.500823634726,0.0
0.05,1,0.5,55,4.511865693842114,4.999999999999997,2.95893108393749,100.0,0,100.0,0.2747821910665644,5.042429944210464,0.45003860666947887,1.8073385,1.4912264793575374,0,0,8560.500823634726,0.0
0.05,1,0.7,55,4.511865693842114,4.974305948062034,1.7080260214625398,98.18181818181819,3,85.45454545454545,0.0,5.070716573684107,0.45003860666947887,1.8073385,1.4912264793575374,0,0,6983.9847870364865,0.0
0.05,2,0.3,55,5.543823880418299,4.999999999999997,4.8423609464699116,100.0,0,100.0,1.6884817858707484,6.961163122751319,0.6044035950118521,2.4995008785822495,1.4912264793575374,0,0,10518.466664284408,0.0
0.05,2,0.5,55,5.543823880418299,4.999999999999997,4.779305325057877,100.0,0,100.0,0.36387450021904755,7.745628371851847,0.6044035950118521,2.4995008785822495,1.4912264793575374,0,0,10518.466664284408,0.0
0.05,2,0.7,55,5.543823880418299,4.993841353146234,4.681755102362552,98.18181818181819,1,98.18181818181819,0.0,9.576047286419746,0.6044035950118521,2.4995008785822495,1.4912264793575374,0,0,9405.069286558517,0.0
0.05,3,0.3,55,6.428561364160243,4.999999999999997,5.957130175984764,100.0,0,100.0,1.743040547792417,8.616560326434483,0.6817378984850699,3.0929183339923902,1.4912264793575374,0,0,12197.106161158243,0.0
0.05,3,0.5,55,6.428561364160243,4.999999999999997,6.339982246378669,100.0,0,100.0,0.4402567669093837,10.063184457008274,0.6817378984850699,3.0929183339923902,1.4912264793575374,0,0,12197.106161158243,0.0
0.05,3,0.7,55,6.428561364160243,4.996782716892468,7.28056869042174,100.0,1,98.18181818181819,0.0,13.438640761680459,0.6817378984850699,3.0929183339923902,1.4912264793575374,0,0,10939.8731650356,0.0
0.05,4,0.3,55,7.187080871365337,4.999999999999997,6.912864755063182,100.0,0,100.0,1.789815874900189,10.035796081944396,0.727750090126213,3.6016779650875326,1.4912264793575374,0,0,13636.268429448812,0.0
0.05,4,0.5,55,7.187080871365337,4.999999999999997,7.678010657088453,100.0,0,100.0,0.5057422248602647,12.050114514722154,0.727750090126213,3.6016779650875326,1.4912264793575374,0,0,13636.268429448812,0.0
0.05,4,0.7,55,7.187080871365337,4.99930446127462,9.508631633788017,100.0,1,98.18181818181819,0.0,16.750190857870255,0.727750090126213,3.6016779650875326,1.4912264793575374,0,0,12255.719620003327,0.0
0.07,0,0.3,55,3.308189215326122,6.999999999999998,1.1683184113109133,100.0,0,100.0,0.5033568381415461,1.9210129430316647,0.0,1.0,1.4912264793575374,0,0,6276.728613883646,0.0
0.07,0,0.5,55,3.308189215326122,5.954740587587019,0.0,5.454545454545454,54,0.0,0.0,0.0,0.0,1.0,1.4912264793575374,0,0,0.0,0.0
0.07,0,0.7,55,3.308189215326122,4.253386133990728,0.0,0.0,55,0.0,0.0,0.0,0.0,1.0,1.4912264793575374,0,0,0.0,0.0
0.07,1,0.3,55,4.511865693842114,6.999999999999998,2.6849507742410643,100.0,0,100.0,0.7677015650475457,4.1731642458646165,0.45003860666947887,1.8073385,1.4912264793575374,0,0,8560.500823634726,0.0
0.07,1,0.5,55,4.511865693842114,6.964028327286849,1.0248156128775219,98.18181818181819,3,85.45454545454545,0.0,3.042429944210463,0.45003860666947887,1.8073385,1.4912264793575374,0,0,6983.984787036481,0.0
0.07,1,0.7,55,4.511865693842114,5.797821736963103,0.0073463619457716026,12.727272727272727,52,1.8181818181818181,0.0,0.40404990701743815,0.45003860666947887,1.8073385,1.4912264793575374,0,0,0.0,0.0
0.07,2,0.3,55,5.543823880418299,6.999999999999998,3.985218089327055,100.0,0,100.0,0.8313389287278908,6.104020265608463,0.6044035950118521,2.4995008785822495,1.4912264793575374,0,0,10518.466664284408,0.0
0.07,2,0.5,55,5.543823880418299,6.991377894404728,2.8090530614175293,98.18181818181819,1,98.18181818181819,0.0,5.745628371851845,0.6044035950118521,2.4995008785822495,1.4912264793575374,0,0,9405.069286558517,0.0
0.07,2,0.7,55,5.543823880418299,6.767502235970446,0.8207164327850202,76.36363636363637,14,52.72727272727272,0.0,4.909380619753076,0.6044035950118521,2.4995008785822495,1.4912264793575374,0,0,629.8080723435389,0.0
0.07,3,0.3,55,6.428561364160243,6.999999999999998,5.099987318841906,100.0,0,100.0,0.8858976906495595,7.759417469291624,0.6817378984850699,3.0929183339923902,1.4912264793575374,0,0,12197.106161158243,0.0
0.07,3,0.5,55,6.428561364160243,6.995495803649458,4.368341214253042,100.0,1,98.18181818181819,0.0,8.063184457008274,0.6817378984850699,3.0929183339923902,1.4912264793575374,0,0,10939.8731650356,0.0
