fixed_rate,max_loops,fixed_ratio,reserve_pct,n_epochs,total_apr,avg_fixed_apr,avg_var_apr,min_var_apr,max_var_apr,fixed_hit,shortfalls,var_positive,max_ltv,avg_leverage,avg_spread,delev,emerg,reserve_final,tvl_growth,protocol_fees,total_gas,gas_pct_of_yield
0.03,4,0.7,0.03,55,12.449267087557118,3.0000000000000004,29.227367224791195,13.530680096763376,43.819814966081,100.0,0,100.0,0.7432666449874554,3.60109706394196,2.83255339713977,0,0,35430.56300483401,0.0,131224.30742531113,1974.5964309751855,0.15047489826525204
0.03,4,0.7,0.05,55,12.449267087557118,3.0000000000000004,28.48041119953778,13.107367105077532,42.771983729666964,100.0,0,100.0,0.7432666449874554,3.60109706394196,2.83255339713977,0,0,59050.93834139002,0.0,131224.30742531113,1974.5964309751855,0.15047489826525204
0.03,4,0.7,0.1,55,12.449267087557118,3.0000000000000004,26.613021136404214,12.049084625862925,40.15240563863186,100.0,0,100.0,0.7432666449874554,3.60109706394196,2.83255339713977,0,0,118101.87668278004,0.0,131224.30742531113,1974.5964309751855,0.15047489826525204
0.03,4,0.8,0.03,55,12.449267087557118,3.0000000000000004,42.341050837186835,18.79602014514507,64.22972244912154,100.0,0,100.0,0.7432666449874554,3.60109706394196,2.83255339713977,0,0,35430.56300483401,0.0,131224.30742531113,1974.5964309751855,0.15047489826525204
0.03,4,0.8,0.05,55,12.449267087557118,3.0000000000000004,41.22061679930668,18.16105065761631,62.657975594500485,100.0,0,100.0,0.7432666449874554,3.60109706394196,2.83255339713977,0,0,59050.93834139002,0.0,131224.30742531113,1974.5964309751855,0.15047489826525204
0.03,4,0.8,0.1,55,12.449267087557118,3.0000000000000004,38.419531704606335,16.573626938794394,58.728608457947814,100.0,0,100.0,0.7432666449874554,3.60109706394196,2.83255339713977,0,0,118101.87668278004,0.0,131224.30742531113,1974.5964309751855,0.15047489826525204
0.03,4,0.9,0.03,55,12.449267087557118,3.0000000000000004,81.68210167437363,34.592040290290136,125.45944489824305,100.0,0,100.0,0.7432666449874554,3.60109706394196,2.83255339713977,0,0,35430.56300483401,0.0,131224.30742531113,1974.5964309751855,0.15047489826525204
0.03,4,0.9,0.05,55,12.449267087557118,3.0000000000000004,79.44123359861335,33.322101315232615,122.31595118900096,100.0,0,100.0,0.7432666449874554,3.60109706394196,2.83255339713977,0,0,59050.93834139002,0.0,131224.30742531113,1974.5964309751855,0.15047489826525204
0.03,4,0.9,0.1,55,12.449267087557118,3.0000000000000004,73.83906340921264,30.14725387758879,114.45721691589563,100.0,0,100.0,0.7432666449874554,3.60109706394196,2.83255339713977,0,0,118101.87668278004,0.0,131224.30742531113,1974.5964309751855,0.15047489826525204
0.05,0,0.5,0.03,55,5.0831803642828,4.999999999999997,3.87523291603777,1.2495146856226034,6.490826283654597,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,14466.710441264806,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
